mdl_index,대표뉴스제목,대표키워드,군집평균유사도,뉴스개수
27,"광명시, 올해 1만 4724개 일자리 창출 목표 108개 사업 추진","지원, 사업, 일자리, 기업, 청년",0.3667,242
85,"삼성전자 노사, 임금 5.1% 인상 잠정 합의… 자사주 30주 지급","임금, 노사, 인상, 삼성전자, 합의",0.5176,230
7,"""안전도 일류""...대전시, 산업재해 없는 도시 만든다","안전, 산업, 재해, 예방, 보건",0.4035,229
45,작년 3분기 임금근로 증가 6년만 최소…3년 연속 일자리 증가 폭 둔화,"일자리, 고용, 증가, 감소, 분기",0.4856,212
98,임금·퇴직금 상습 체불…악덕 기업 89곳서 체불임금 144억 원 적발,"체불, 임금, 근로자, 고용, 지급",0.4224,206
6,"경기도일자리재단, 산불 피해 주민 위해 성금 전달","피해, 산불, 성금, 지역, 지원",0.3355,197
81,[사설] 정년 연장이 아니라 `퇴직후 재고용`이라야 한다,"정년, 연장, 고용, 임금, 청년",0.4395,188
93,1회 신청에 의료부터 주거까지…통합돌봄모델 구축,"돌봄, 지원, 서비스, 요양, 통합",0.4327,175
54,내년 최저임금은 얼마?…첫 전원회의 열고 심의 착수,"임금, 최저, 심의, 적용, 결정",0.5266,171
62,"‘직장 내 괴롭힘’ 오요안나, 근로자인가 아닌가…방송계 고질적 고용 관행 수면 위로","괴롭힘, 직장, 프리랜서, 방송, 근로자",0.4317,166
